hour_group,userType,Unnamed: 0,sns,shopping,others,hour,hour_group_str
0,extreme,1877.44,109.82285714285715,15.377142857142857,854.5428571428571,0.0,0-3
1,extreme,1878.44,112.42285714285714,18.394285714285715,921.16,3.0,3-6
2,extreme,1879.44,105.66285714285715,15.257142857142858,840.0628571428572,6.0,6-9
3,extreme,1880.44,102.76571428571428,12.502857142857144,732.2342857142858,9.0,9-12
4,extreme,1876.0172413793102,101.45402298850574,14.10919540229885,772.4942528735633,12.0,12-15
5,extreme,1875.55900621118,105.5527950310559,12.161490683229813,779.4409937888199,15.0,15-18
6,extreme,1876.55900621118,103.28571428571429,12.416149068322982,758.8385093167702,18.0,18-21
7,extreme,1877.55900621118,105.05590062111801,12.813664596273291,781.3913043478261,21.0,21-24
0,moderate,2126.3497267759562,73.40983606557377,5.551912568306011,613.0601092896175,0.0,0-3
1,moderate,2132.858695652174,82.25,7.679347826086956,730.7663043478261,3.0,3-6
2,moderate,2132.7837837837837,86.41621621621621,7.902702702702703,778.1081081081081,6.0,6-9
3,moderate,2127.6358695652175,87.88586956521739,8.38586956521739,789.4402173913044,9.0,9-12
4,moderate,2118.863387978142,84.40983606557377,8.53551912568306,743.3879781420765,12.0,12-15
5,moderate,2119.2685714285712,79.49142857142857,7.154285714285714,716.2342857142858,15.0,15-18
6,moderate,2128.080459770115,71.15517241379311,5.367816091954023,637.3620689655172,18.0,18-21
7,moderate,2129.080459770115,67.1264367816092,5.379310344827586,576.0402298850574,21.0,21-24
0,occational,2032.748427672956,93.84905660377359,14.962264150943396,760.4779874213837,0.0,0-3
1,occational,2033.748427672956,99.20754716981132,13.037735849056604,709.7735849056604,3.0,3-6
2,occational,2034.748427672956,96.44025157232704,7.364779874213837,711.7044025157232,6.0,6-9
3,occational,2036.433962264151,98.42138364779875,7.182389937106918,739.559748427673,9.0,9-12
4,occational,2023.7898089171974,99.40764331210191,10.254777070063694,763.203821656051,12.0,12-15
5,occational,2020.201388888889,101.90277777777777,12.98611111111111,785.0277777777778,15.0,15-18
6,occational,2015.8413793103448,95.82068965517242,13.482758620689655,718.8758620689655,18.0,18-21
7,occational,2016.8413793103448,92.06896551724138,13.572413793103449,700.6758620689656,21.0,21-24
